"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree with the following statement: Joe Biden is too old to be an effective president.","To what extent do you agree with the following statement: Donald Trump is too old to be an effective president.","Should Brown have institutional neutrality? [""Institutional neutrality is the idea that colleges and universities should not, as institutions, take positions on social and political issues""]

(Definition from the Foundation for Individual Rights and Expression)","Do you identify more closely with capitalist or communist values?","How would you rate the effectiveness of using social media for political activism?","Do you think you are more lonely than the average Brown student?","Would you rather receive a final grade of a B or an S in a course?","Have you ever shoplifted before?","What is your love language?"
"2024/03/05 1:23:56 PM EST","2024","Man","Hispanic or Latino","Social Sciences (including economics, CLPS)","Unsure","Unsure","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Unsure","Quality time"
"2024/03/05 1:27:48 PM EST","2024.5","Man","White","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 1:29:20 PM EST","2024","Man","White","Humanities/Arts","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:32:34 PM EST","2024","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:36:18 PM EST","2026","Man","Asian;White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 1:37:45 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:39:46 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Acts of service"
"2024/03/05 1:40:11 PM EST","2024","Woman","Asian;White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 1:41:42 PM EST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 1:41:45 PM EST","2024","Woman","White","Humanities/Arts","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","Unsure","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 1:45:31 PM EST","2024","Man","White","Humanities/Arts;Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 1:45:38 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Unsure","Quality time"
"2024/03/05 1:49:54 PM EST","2024","Woman","Asian","Social Sciences (including economics, CLPS)","Unsure","Unsure","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","Unsure","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 1:53:39 PM EST","2027","Man","Hispanic or Latino;White","Humanities/Arts","Strongly disagree","Strongly disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 1:54:06 PM EST","2027","Woman","Hispanic or Latino","Humanities/Arts;Life Sciences","Somewhat agree","Strongly agree","Unsure","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/05 1:54:22 PM EST","2027","Man","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 1:59:42 PM EST","2024","Non-binary","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","Unsure","Acts of service"
"2024/03/05 2:00:01 PM EST","2026","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, significantly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 2:01:39 PM EST","2025","Man","White","Life Sciences","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 2:05:25 PM EST","2024.5","Woman","Asian;White","Life Sciences","Somewhat agree","Somewhat disagree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 2:07:31 PM EST","2027","Woman","White","Life Sciences","Somewhat disagree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 2:09:41 PM EST","2027","Woman;Man;Non-binary","Hispanic or Latino;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 2:11:07 PM EST","2027","Woman","Asian","Life Sciences","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 2:11:33 PM EST","2027","Man","Black","Physical Sciences (including math, computer science)","Unsure","Unsure","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 2:15:03 PM EST","2027","Man","White","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Prefer not to answer","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 2:19:11 PM EST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","Unsure","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/05 2:19:25 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","I do not believe in love languages"
"2024/03/05 2:20:34 PM EST","2024","Woman","Hispanic or Latino","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 2:21:20 PM EST","2026","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Physical touch"
