"Timestamp","What is your current graduation year?","What is your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area? Check all that apply.","How would you describe your family’s socioeconomic status?","Would you support or oppose the U.S. government banning TikTok?","When was the last time you cried?","Do you regret choosing to take a class S/NC rather than for a letter grade?","If you had to choose, would you rather raise a child starting now or never have the opportunity? (Baby now or never)","Which of the following statements applies to you? Check all that apply.","Who is the current Chief Justice of the United States Supreme Court?","Do you approve or disapprove of Brown Concert Agency’s artist selections for Spring Weekend?","On average, how many alcoholic beverages do you consume each week at Brown?"
"2023/04/11 1:42:51 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Upper class","Unsure","In the past year","Unsure","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:43:44 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past week","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","no clue - not an american","Somewhat approve","5-10 drinks"
"2023/04/11 1:44:19 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Upper class","Oppose","More than a year ago","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 1:44:22 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat approve","5-10 drinks"
"2023/04/11 1:45:04 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:45:45 PM AST","2024","Non-binary","White","Humanities/Arts","Upper class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Unsure","0-5 drinks"
"2023/04/11 1:47:07 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John Roberts ?","Somewhat approve","Zero – I don’t drink"
"2023/04/11 1:47:33 PM AST","2023.5","Unsure","Asian;White","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Clarence Thomas","Somewhat approve","0-5 drinks"
"2023/04/11 1:49:04 PM AST","2026","Woman","Asian;White","Humanities/Arts;Life Sciences","Upper-middle class","Oppose","Unsure","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Roberts","Somewhat approve","Zero – I don’t drink"
"2023/04/11 1:49:09 PM AST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Marshall","Somewhat disapprove","Zero – I don’t drink"
"2023/04/11 1:49:23 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","Middle class","Unsure","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Unsure","Zero – I don’t drink"
"2023/04/11 1:50:06 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Unsure","Zero – I don’t drink"
"2023/04/11 1:50:18 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 1:51:46 PM AST","2023","Woman","Prefer not to answer","Life Sciences","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 1:53:18 PM AST","2024","Non-binary","White","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Robert Kennedy ","Somewhat approve","0-5 drinks"
"2023/04/11 1:54:08 PM AST","2026","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:54:27 PM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","John Roberts","Somewhat approve","5-10 drinks"
"2023/04/11 1:55:21 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","Unsure","None of these statements applies to me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 1:55:29 PM AST","2025","Woman","Asian","Life Sciences","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:56:31 PM AST","2025","Woman","White","Life Sciences","Middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","No idea","Strongly approve","10-15 drinks"
"2023/04/11 1:57:19 PM AST","2026","Man","Asian;White","Life Sciences","Upper-middle class","Unsure","In the past 6 months","I have never chosen to take a class S/NC","Unsure","None of these statements applies to me","","Somewhat disapprove","Zero – I don’t drink"
"2023/04/11 1:57:31 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","","Somewhat approve","10-15 drinks"
"2023/04/11 1:57:33 PM AST","2025","Woman","White","Humanities/Arts","Upper class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","idk :(","Strongly approve","5-10 drinks"
"2023/04/11 1:58:03 PM AST","2025","Man","Black","Physical Sciences (including math, computer science)","Middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","Justice John Roberts","Strongly disapprove","0-5 drinks"
"2023/04/11 1:58:15 PM AST","2023.5","Man","White","Humanities/Arts","Upper-middle class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 1:59:35 PM AST","2026","Man","Hispanic;Middle Eastern or North African","Life Sciences","Upper class","Support","In the past 6 months","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","N/A","Strongly disapprove","0-5 drinks"
"2023/04/11 1:59:44 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","IDK2","Somewhat approve","5-10 drinks"
